*** 1 - 15 (/course/66669/1-5000-arabic-frequency-audio/1/)	
الـ	The
رافَقَ	"to accompany, escort s.o. (III)"
خاطَبَ	"to address, speak to s.o. (III)"
تَبَنَّى	to adopt sth.; to be built (V)
نَصَحَ	to advise s.o. (ب to do sth.) (not أَوْصَى)
أَوْصَى	to advise s.o. (ب to do sth.) (IV)
زَعَمَ	"to allege, claim أَنَّ/بِأَنَّ that, (Magh.) to mean, signify"
اِعْتَذَرَ	to apologize إلى to s.o. عن for sth.
لاحَ	"to appear, loom"
أَذان	call to prayer
قُطْب	"axis, pole; leader, top figure"
هَمْس	whispering;
مُكَعَّب	"cubic (foot, meter); cube-shaped"
سَوا	together; adj. equal (Dia.)
*** 4461 - 4475 (/course/66669/1-5000-arabic-frequency-audio/298/)	
أَلْحَقَ	"to attach, append ب sth.; to enroll, register sb in (ب a school) (IV)"
هاجَمَ	to assault sth./s.o.; to raid sth. (III)
أَيَّدَ	to assist s.o. (II)
أَعانَ	"to assist, support s.o./sth. (IV)"
تَنازَلَ	to back down عن from
تَوافَرَ	to be (abundantly) available (VI)
وَعَى	to be aware of sth.
تَعادَلَ	"to be balanced, tie each other"
تَرَكَّزَ	to be centered في on sth.
اِتَّسَمَ	to be characterized ب by
تَناسَبَ	to be compatible مع/و with (VI)
تَعَلَّقَ	"to be connected ب with sth./s.o. , have to do with (V)"
اِكْتَفَى	"to be content, satisfied ب with (VIII)"
تَقَرَّرَ	to be decided (V)
اِعْتَزَمَ	to be determined على to do sth. (VIII)
لين	(Lev.) whenever; prep. until
وَجِيز	"brief, short; summarized"
لِئَلّا	in order not to
مُكافَأَة	compensation; reward
صَهْيُونِيَّة	Zionism
مَكْرُوه	"adj. detested; n. accident, mishap"
*** 4476 - 4490 (/course/66669/1-5000-arabic-frequency-audio/299/)	
تَجَزَّأَ	"to be divided, detached (V)"
كَفَى	to be enough (for sth./s.o.)
تَسَنَّى	"to be feasible, be possible (V)"
اِمْتَلَأَ	"to be filled, to become full (VIII)"
اِكْتَمَلَ	"to be finished, be perfect (VIII)"
تَشَكَّلَ	"to be formed, be composed (V)"
تَأَسَّسَ	to be founded (V)
طابَ	to be good or pleasant
سَعِدَ	"to be happy, delight ب in sth."
خَفِيَ	to be hidden; لا يَخْفَى obvious
تَشَرَّفَ	to be honored (على to meet s.o.) (V)
اِسْتَحالَ	to be impossible (X)
اِنْدَرَجَ	to be included; to be categorized
تَعَيَّنَ	"to be incumbent على on s.o. (not واجب، انبغى)"
اِتَّسَعَ	to be large enough ل for
أَجَنْدَة	"agenda, program; roadmap"
مُبالَغاً	exaggerated (adv)
زُجاجَة	bottle; (piece of) glass
مُتَعاقِب	"consecutive, alternating (not مُتَتالٍ)"
رَيْب	doubt (not شكّ)
*** 4491 - 4505 (/course/66669/1-5000-arabic-frequency-audio/300/)	
تَواجَدَ	to be located; to be present (VI)
تَوَجَّبَ	to be necessary على for s.o. (V)
لَزِمَ	"to be necessary (I, not وجب); to cling to"
تَعَدَّدَ	to be numerous or diverse
تَبارَكَ	to be praised (of God)
أَجادَ	"to be proficient, do sth. well (IV)"
لاقَ	"to be proper, suitable for s.o. (I)"
سَكَتَ	"to be quiet, be silent (I)"
اِنْعَكَسَ	to be reflected; to have an effect (VII)
تَجَدَّدَ	to be renewed; to repeat itself (V)
ناسَبَ	to be suitable for s.o. (III)
اِسْتَغْرَبَ	to be surprised (من at) (X)
حَلا	to be sweet; to enjoy doing sth.
أَجْدَى	"to be useful, helpful (IV)"
اِنْتَصَرَ	to be victorious (على over s.o./sth.)
مُشْتَبَه	"suspected, suspicious (فيه، فيها، فيهم)"
واخِد	(Lev.Irq.Gul.) taking
اِخْتِفاء	disappearance; absence
*** 4506 - 4520 (/course/66669/1-5000-arabic-frequency-audio/301/)	
جَدُرَ	to be worth ب (mentioning)
جَفَّ	to become dry
تَجَلَّى	to become evident; to manifest itself
خَفَّ	to become lighter
غَدا	"to become (not أضحى، صار، أصبح); to seem, appear"
أَضْحَى	to become; to start (doing) (IV)
اِسْتَغْفَرَ	to beg (God) for forgiveness
بادَرَ	to begin; to hasten (III)
نَزَفَ	"to bleed, hemorrhage; drain"
غَلَقَ	"to bolt shut, to close (door)"
اِخْتَرَقَ	to break into; to traverse
اِنْدَلَعَ	"to break out, flare up (fire, war)"
جَلَبَ	"to bring about, cause sth. (I, not سبب، جعل)"
أَنْزَلَ	"to bring or send down, lower sth. (IV)"
جاب (u)	"to explore, traverse, pass through"
مُوضَة	"fashion, style (from It.)"
أَها/أَهَه	"yeah, uh-huh"
صَحْن	"bowl, plate; courtyard (of a mosque)"
فَيْض	"abundance; flood, stream"
جاب (i)	bring (Dial)
*** 4521 - 4535 (/course/66669/1-5000-arabic-frequency-audio/302/)	
أَحْضَرَ	to bring sth.; to prepare (food) (IV)
تَطَرَّقَ	"to broach, discuss إلى (topic, issue) (V)"
حَرَقَ	to burn sth.; to hurt s.o.
أَلْغَى	"to cancel, terminate; abrogate"
اِحْتَفَلَ	to celebrate ب sth.
تَعارَضَ	"to clash, conflict مع/و with sth. (VI)"
تَصاعَدَ	"to climb, increase (VI)"
سَدَّ	to close ; to turn off; to pay; to fill
تَمَسَّكَ	"to clutch, adhere to ب sth. (V)"
تَساقَطَ	to collapse; to fall gradually  (VI)
اِنْهارَ	to collapse; to break down (VII)
تَلا	to come after; to recite (Qur'an)
قارَبَ	to come close to sth.
شَكا	to complain إلى to s.o.
خَتَمَ	to conclude sth.; to seal sth.
تَحْصِيل	"acquisition, attainment (inf II)"
مَقْدِرَة	"ability, potential, capacity (not قدرة، إمكانية، استطاعة)"
بروفسور	professor; Prof. (not أُسْتاذ)
إِخْفاء	concealing; lowering (one's voice) (inf IV)
قُطْن	cotton
تَكْرِيس	"dedication, devotion; consecration (inf II)"
أَعْمَق	deeper/deepest
*** 4536 - 4550 (/course/66669/1-5000-arabic-frequency-audio/303/)	
حَوَى	"to contain, include (على) sth. (I)"
اِنْطَوَى	"to contain, include على sth. (VII) (not احتوى)"
أَحْصَى	"to count, calculate sth. (IV)"
(u) رامَ	to crave sth.; عَلى ما يُرامُ in order
اِنْتَقَدَ	to criticize s.o./sth. (VIII)
لَعَنَ	"to curse, damn s.o./sth."
رَقَصَ	to dance
جَرُؤَ	to dare على to do sth.
اِنْخَفَضَ	"to decrease, be reduced (VII)"
وَهَبَ	"to donate, grant; to give dedicate (one's life) ل to (not أهدى، أعطى، منح)"
غَلَبَ	"to defeat, overcome, dominate  على sth. /s.o. (I)"
اِقْتَضَى	"to demand, require sth. (VIII)"
أَدانَ	"to condemn, denounce, censure, disapprove of sth./s.o. (IV)"
أَنْكَرَ	"to deny, dispute (claim) (IV)"
تَرَتَّبَ	to derive or result على from (V)
مُراهَقَة	adolescence; puberty
في متناول / متناول	within reach
كابْتِن	captain; (title) Captain
شائِع	"widespread, well-known (not منتشر، )"
مَسِيحِيَّة	Christianity (not نصرانية)
دِراما	"drama (not مسرحية، مأساة)"
*** 4551 - 4565 (/course/66669/1-5000-arabic-frequency-audio/304/)	
اِسْتَأْهَلَ	"to deserve, merit sth. (X)"
أَوْقَفَ	to detain s.o.; to make s.o. stand (IV)
مَيَّزَ	to differentiate بين between (II)(notفرق)
ذابَ	"to dissolve, melt"
عَمَدَ	to do sth. deliberately
جَرَّ	"to drag, pull sth."
جَنَّنَ	to drive s.o. insane
اِكْتَسَبَ	"to earn, gain, win sth."
اِحْتَضَنَ	to embrace; to include
نَبَعَ	"to emerge; to emanate, flow"
هاجَرَ	to emigrate
شَجَّعَ	"to encourage, support s.o./sth."
نَجا	"to escape, be rescued من from"
فَرَّ	"to escape, flee; to defect, desert"
باقَة	bouquet; packet (data)
باي	bye! goodbye!
هاوِيَة	"cliff, precipice; abyss, chasm"
اِسْتِعْمارِيّ	colonialist
تَعْمِيق	deepening; broadening
*** 4566 - 4580 (/course/66669/1-5000-arabic-frequency-audio/305/)	
أَنْشَأَ	"to establish, found; to install, set up"
فَسَّرَ	"to explain, interpret sth. (ل for s.o.)"
هَبَطَ	"to fall, drop; to land (aircraft)"
صَوَّرَ	"to film, photograph; to portray"
اِخْتَتَمَ	to finalize (an activity)
أَمْضَى	to finalize sth.; to spend (time)
أَتَمَّ	"to finish, conclude sth."
سالَ	"to flow, run; to leak; to melt"
تَدَفَّقَ	"to flow, stream; to drip, drop"
سَرَى	to flow; to apply (a law) على to
تَوالَى	to follow in succession
كَسَبَ	"to gain, achieve, earn sth."
تَعَوَّدَ	to get accustomed على to sth.
مَلَّ	"to get bored, fed up (من with sth.)"
رَكِبَ	"to get in, board, mount (a horse)"
شَهِيَّة	appetite
رَصاصَة	bullet; shot
رَيْثَما	as long as; until
بِنايَة	"building, edifice; structure (not مَبْنىً - عمارة)"
تَوْصِيل	"connection, contact"
قامُوس	"dictionary, lexicon; vocabulary"
*** 4581 - 4595 (/course/66669/1-5000-arabic-frequency-audio/306/)	
اِسْتَعَدَّ	to get ready ل for sth.
اِعْتادَ	to get used على to sth.
عَطَى	to give sth. to s.o.
أَدْلَى	"to give, provide ب sth."
تَعَدَّى	to go beyond; to infringe على on
مَسَكَ	"to grab, hold sth. or ب sth."
تَخَرَّجَ	to graduate من from
اِسْتَوْعَبَ	to grasp sth.; to absorb sth.
حَيّا	"to greet, salute s.o.; to praise s.o."
كَفَلَ	to guarantee sth.; to support s.o.
طَرَأَ	"to happen, occur على to s.o."
كَنَّ	to harbor (feelings) ل for s.o.
ضَرَّ	"to harm ب (one's health), (Magh.) to hurt (pain)"
عافَى	"to heal, cure s.o."
راعَى	"to heed, observe sth.; to respect sth."
دلوقتي	(Egy.) now
شَبابِيّ	"youthful, juvenile"
*** 4596 - 4610 (/course/66669/1-5000-arabic-frequency-audio/307/)	
أَكْرَمَ	"to honor, respect s.o.; to venerate s.o."
اِسْتَضافَ	"to host, invite s.o."
حَلَّقَ	to hover; to circle (the skies)
سارَعَ	"to hurry, hasten إلى to a place"
أَضاء	"to illuminate, shine upon sth."
تَخَيَّلَ	"to imagine, suppose sth. or أَنَّ that"
أَنْجَزَ	"to implement, accomplish sth."
اِشْتَمَلَ	"to include, contain على sth."
تَزايَدَ	"to increase, grow in number, (Magh.) تَزِيد"
تَسَلَّلَ	to infiltrate إلى sth.
أَبْلَغَ	to inform s.o.; to report
نَوَى	"to intend, want (to do sth.)"
اِشْتَدَّ	"to intensify, grow more intense"
اِقْتَحَمَ	"to invade, burst into sth."
اِنْضَمَّ	"to join, become part of إلى sth."
تُفّاح	coll. apples
حَياتِيّ	"biological, living; daily life related"
هول	(Lev.) these
كَرْبُون	carbon
زِفاف	wedding (≠ زَوَاج - عُرْس)
تَنْبِيه	"warning, alarm (≠ إِنْذار)"
لَذِيذ	"delicious; delightful, marvelous"
*** 4611 - 4625 (/course/66669/1-5000-arabic-frequency-audio/308/)	
قَفَزَ	"to jump, leap"
بَرَّرَ	to justify; to vindicate
أَبْقَى	to keep sth./s.o. (على in a state)
طَرَقَ	to knock on (door)
عارِف	to know
اِفْتَقَرَ	"to lack, be in need إلى of sth."
أَفْضَى	to lead إلى to; to disclose ب sth.
اِسْتَنَدَ	"to lean on, rely on إلى sth."
لَبِثَ	to linger; ما لَبِثَ أنْ it wasn't long
أَضاعَ	to lose sth.; to waste (time)
أَحَبَّ	"to love, like sth./s.o.; to want sth."
خَفَّفَ	"to lower, lessen sth."
أَخْطَأَ	"to make a mistake, (Magh.) خْطَأَ"
خَطَّطَ	to make plans; to define (borders)
مَكَّنَ	to make possible مِن sth. (for s.o.)
غِشّ	"cheating, swindling"
إِزّاي	"(Egy.) adv. how, just how; how come, why"
مُحَذِّر	"warning, cautioning"
غَيْبُوبَة	unconsciousness; trance; coma
يُسْر	affluence; ease
*** 4626 - 4640 (/course/66669/1-5000-arabic-frequency-audio/309/)	
لَبَّى	to meet (needs); to comply with
عَدَّلَ	"to modify, adjust sth."
راقَبَ	"to monitor, supervise sth./s.o."
أَسْمَى	"to name, designate, call"
اِعْتَرَضَ	to object على to sth.
رَصَدَ	"to observe, track sth."
سَدَّدَ	"to obstruct; to pay off; to aim, shoot"
أَساء	to offend إلى s.o.; to do sth. badly
عارَضَ	"to oppose, resist sth./s.o."
فاضَ	to overflow; to exceed عن sth.
طَمْأَنَ	"to pacify, assuage, reassure s.o."
غَفَرَ	"to pardon, forgive ل s.o. sth."
اِشْتَرَكَ	to participate (with s.o.) في in
زَرَعَ	to plant; to cultivate (land)
تَعَهَّدَ	to pledge ب to do sth.
حَلْبَة	"arena, ring, circuit, track"
تَراكُم	"buildup, accumulation; backlog"
اِعْتِصام	adhering (ب to); n. sit-in strike
لَعِين	"accursed, damned; hateful"
أَصْدَق	truer/truest; more/most reliable
أَهْوَن	"easy, simple; easier/easiest (not أَسْهَل - سهل)"
*** 4641 - 4655 (/course/66669/1-5000-arabic-frequency-audio/310/)	
نَوَّهَ	"to point out, mention ب/إلى أَنَّ that"
تَأَمَّلَ	to ponder (في) sth.
أَعَدَّ	"to prepare, make ready sth."
خَلَّى	"to preserve, keep s.o. safe, (Magh.) to leave s.o./sth."
اِحْتَفَظَ	"to preserve, keep ب sth."
كَبَسَ	"to press; to dial, click"
أَنْتَجَ	"to produce, result in"
رَوَّجَ	to promote sth.; to spread sth.
رَعَى	to protect s.o.; to sponsor sth./s.o.
عاقَبَ	to punish s.o. على for (a crime)
بَغَى	"to pursue, strive for sth."
عَصَفَ	"to rage (wind, conflict)"
تَسَلَّمَ	to receive sth.; to take on sth.
اِسْتَعادَ	"to recover, reclaim sth."
قَلَّلَ	to reduce sth.; to downplay sth.
عِنان	"bridle, reins"
عَذْراء	(fem.) virgin
مُذْهِل	"amazing, startling"
إِنْذار	"warning, caution, alarm (≠ تنبيه)"
*** 4656 - 4670 (/course/66669/1-5000-arabic-frequency-audio/311/)	
أَبَى	to refuse sth. or أَنْ to do sth.
اِرْتاحَ	to relax; to be pleased
تَخَلَّى	"to relinquish, surrender عن sth."
أَزالَ	"to remove; to uninstall (software), (Magh.) زُوَل"
جَدَّدَ	to renew; to try again
عَوَّضَ	"to repay, reward s.o."
اِسْتَوْجَبَ	to require sth.
شابَهَ	"to resemble, be similar to sth./s.o."
قاوَمَ	"to resist, oppose sth."
اِحْتَرَمَ	"to respect, revere s.o./sth."
نَتَجَ	"to result, arise من/عن from"
اِسْتَعْرَضَ	to review sth.; to tour (facilities)
ثارَ	to revolt; to rise up
رَنَّ	"to ring, sound (phone, bell)"
أَشْرَقَ	"to rise, shine"
خوش	"(Gul.) good, fine, great"
بَتَّة	(not) at all
طَبْخ	"cooking, cuisine"
تَمْر	date (fruit)
*** 4671 - 4685 (/course/66669/1-5000-arabic-frequency-audio/312/)	
اِسْتَبْعَدَ	to rule out (consider unlikely)
رَكَضَ	"to run, race"
عَدا	"to run, race"
أَرْضَى	"to satisfy, please s.o."
عَيَّطَ	"to scream; (Magh.) to call, to phone ل s.o."
لَمَحَ	"to see, notice sth."
صاحَ	"to shout (sth., ب/على at s.o.)"
غَرِقَ	"to sink, drown, be submerged"
نَمَّ	"to slander, gossip على about s.o."
تَكَلَّمَ	to speak (مع with s.o.)
كَلَّمَ	to speak with s.o.
نَطَقَ	"to speak, utter, pronounce ب sth."
شَقَّ	"to split, cut through sth."
أَفْسَدَ	"to spoil, ruin sth.; to corrupt s.o."
شَرَعَ	"to start, undertake في sth."
ثَدْي	breast; udder
بائِن	"clear; obvious (not واضح، ظاهر)"
عَسْكَر	"(coll.) army, troops"
اِسْتِيلاء	"appropriation, seizure"
شَرِيطَة	condition
مَنْقُول	adj. conveyed; quoted; mobile
واصِف	"describing, characterizing"
مُؤْسِف	unfortunate; sad
*** 4686 - 4700 (/course/66669/1-5000-arabic-frequency-audio/313/)	
سَرَقَ	to steal sth.
اِشْتَرَطَ	to stipulate sth.
قَوَّى	to strengthen
