*** 1 - 25 (/course/66563/koine-greek-3/1/)	
ὁ 	"the, who, which"
ὁ Οὐρίας	Uriah
ἡ ὀφρῦς	brow
ὀχλέω	to harass
ὀχλοποιέω	to gather a crowd
τὸ ὀχύρωμα	fortress
ὀψέ	(+gen) after (prep.); evening (adv.)
ὁ ὄψιμος	"late, late rain"
παγιδεύω	"to entangle, trap"
παθητός	subject to suffering
τὸ παιδάριον	"child, boy; servant"
παιδιόθεν	from childhood
παίζω	to play; to amuse oneself
ἡ παλαιότης	oldness
*** 4851 - 4875 (/course/66563/koine-greek-3/195/)	
ἡ πάλη	struggle
παμπληθεί	together
τὸ πανδοχεῖον	inn
ὁ πανδοχεύς	inn-keeper
ἡ πανήγυρις	public festival; joyful gathering
πανοικεί	with one’s entire household
πανοῦργος	crafty
πανταχῇ	everywhere
πάντῃ	in every way; on every side
παραβάλλω	to throw aside; to be attentive; to arrive
παραβολεύομαι	to risk
παραδειγματίζω	to punish publicly; to make public display
παράδοξος	unusual
παραθαλάσσιος	by the sea/lake
παραθεωρέω	to neglect
παρακαθέζομαι	to sit beside
παρακαλύπτω	to hide
ἡ παράλιος	coastal area
ἡ παραλλαγή	"transmission; variation, change"
ἡ παραμυθία	"exhortation; consolation, comfort"
τὸ παραμύθιον	comfort
παρανομέω	to act contrary to the law
ἡ παρανομία	"wrongdoing, lawlessness"
παραπικραίνω	to provoke
παραπίπτω	to fall away
*** 4876 - 4900 (/course/66563/koine-greek-3/196/)	
παραπλέω	to sail by
παραπλήσιος	"coming near, nearly, resembling"
παραπλησίως	likewise
παραρρέω	to drift away
παράσημος	"special insignia, figurehead"
παρατείνω	"to extend, continue; stretch"
ἡ παρατήρησις	observation
παρατυγχάνω	"to happen to be near, happen to be present"
παραυτίκα	immediately; momentary
παραφρονέω	to be out of one’s mind
ἡ παραφρονία	"insanity, madness"
ἡ παραχειμασία	wintering
ἡ πάρδαλις	leopard
παρεδρεύω	to serve; apply oneself to
παρεισάγω	to bring in secretly
παρείσακτος	brought in secretly
παρεισδύνω	to sneak in secretly
παρεισφέρω	to exert
παρεκτός	"(+gen) except, apart from"
παρεμβάλλω	to set up camp
παρενοχλέω	"to trouble, annoy, add extra trouble"
ἡ πάρεσις	overlooking
ἡ παρηγορία	"comfort, exhortation"
ἡ παρθενία	virginity
ὁ παρθένος	virgin
*** 4901 - 4925 (/course/66563/koine-greek-3/197/)	
ὁ Πάρθοι	Parthians
ὁ Παρμενᾶς	Parmenas
ἡ πάροδος	passage; traveler
παροίχομαι	to go by
παρομοιάζω	to be like
παρόμοιος	"similar, like"
ὁ παροργισμός	"wrath, provocation"
παροτρύνω	to stir up
ἡ παροψίς	plate
τὸ Πάταρα	Patara
ὁ Πάτμος	Patmos
πατρικός	ancestral
ὁ Πατροβᾶς	Patrobas
ὁ πατρολῴας	father-murderer
πατροπαράδοτος	handed down from ancestors
πεδινός	"level (ground), plain"
πεζεύω	to travel by foot
πειθός	persuasive
πειράω	"to tempt, test; try"
ἡ πεισμονή	persuasion
πελεκίζω	to behead
ὁ πένης	"day-laborer, poor person"
ὁ πενθερός	father-in-law
πενιχρός	poor
πεντάκις	five times
*** 4926 - 4950 (/course/66563/koine-greek-3/198/)	
πεντεκαιδέκατος	fifteenth
περαιτέρω	further
περιάπτω	"to kindle; to tie, tie around"
περιδέω	to wrap
περιεργάζομαι	to meddle
ἡ περίθεσις	wearing
τὸ περικάθαρμα	ransom; refuse
περικρατής	in control of
περικρύβω	to hide
περικυκλόω	to surround
περιμένω	to await
πέριξ	around
περιοικέω	to live near
περίοικος	neighbor
περιούσιος	special
ἡ περιοχή	enclosure; passage
περιπείρω	to pierce through
περιρήγνυμι	to tear off
περισπάω	to be worried
περισσός	"more, remaining, excessive, to the full"
περιτρέπω	to overturn; to drive insane
περιτρέχω	to run around
περιφρονέω	"to disregard, despise"
τὸ περίψημα	ransom; scum
περπερεύομαι	to brag
*** 4951 - 4975 (/course/66563/koine-greek-3/199/)	
ἡ Περσίς	Persis; Persian (f)
τὸ πήγανον	rue (ruta chalepensis)
πήγνυμι	"to put up, fasten"
πιέζω	"to press, press down"
ἡ πιθανολογία	enticing argument
πίμπρημι	to swell up
τὸ πινακίδιον	small writing tablet
ἡ πιότης	oil; fat; fatness; richness
ἡ Πισιδία	Pisidia
Πισιδίος	Pisidian
πιστόω	to establish; to be faithful; firmly believe
ὁ πλανήτης	"wanderer, roamer; planet, planetary"
τὸ πλάσμα	what is formed
πλαστός	"made-up, fabricated"
πλατύς	wide
τὸ πλέγμα	elaborate hairstyle
ἡ πλήμμυρα	flood
πλησίον	(+gen) near;  neighbor
ἡ πλησμονή	satisfaction
πλήσσω	to strike
ὁ ποδήρης	foot-length; foot-length robe
ἡ ποίησις	doing; creation
ποίμνιον	flock
τὸ πολίτευμα	place of citizenship; group of citizens
πολλαπλασίων	"more, many times more"
*** 4976 - 5000 (/course/66563/koine-greek-3/200/)	
ἡ πολυλογία	many words
πολυμερῶς	many times
πολυποίκιλος	"multicolored, diverse, intricate"
πολύσπλαγχνος	very compassionate
πολυτρόπως	in many ways
Ποντικός	"Pontian, from Pontus; Ponticus"
ὁ Πόρκιος	Porcius
ἡ πορφυρόπωλις	merchant selling purple cloth
ποταμοφόρητος	swept away by a river
πότερον	whether
ὁ Ποτίολοι	Puteoli
ὁ πότος	drinking party
ὁ Πούδης	Pudens
ἡ πραγματεία	work; narrative; affair
πραγματεύομαι	"to trade, tend to business"
ἡ πραϋπάθεια	"humility, gentleness"
ἡ πρεσβῦτις	older; elderly woman
πρηνής	head first
πρίζω	"to cut with a saw, torture"
προαιρέω	"to take out, choose, prefer, decide"
προαιτιάομαι	to accuse beforehand
προακούω	to hear before
τὸ προαύλιον	front courtyard
προβατικός	relating to sheep
προβιβάζω	"to teach, persuade"
*** 5001 - 5025 (/course/66563/koine-greek-3/201/)	
προβλέπω	"to foresee, to provide"
προγίνομαι	to happen previously
προδίδωμι	to give first
πρόδρομος	"preceding; precursor, forerunner"
προελπίζω	to trust first
προευαγγελίζομαι	to evangelize earlier
προέχω	"to put first, be first, be better off"
προηγέομαι	to lead the way
ἡ προθεσμία	set time
προθύμως	willingly
ὁ πρόϊμος	early rain
προκαλέω	"to call out, provoke, irritate"
προκαταρτίζω	to prepare ahead of time
προκηρύσσω	to preach beforehand
τὸ πρόκριμα	prejudice
προκυρόω	to determine earlier
προμαρτύρομαι	"to foretell, witness beforehand"
προμελετάω	to prepare ahead of time
προμεριμνάω	to worry ahead of time
προπάσχω	to suffer beforehand
ὁ προπάτωρ	forefather
προςάββατον	day before sabbath
προςαγορεύω	"to designate; to call, address"
προςαιτέω	to beg
προςαναβαίνω	to go up
*** 5026 - 5050 (/course/66563/koine-greek-3/202/)	
προςαναλόω	to spend lavishly
προςαπειλέω	to threaten further
προςδαπανάω	to spend further
προςδέομαι	to need; plead
προςεάω	to allow to go farther
προςεργάζομαι	to make more
προςηλόω	to fasten; to nail to
ἡ προςκαρτέρησις	perseverance
τὸ προςκεφάλαιον	"cushion, pillow"
προςκληρόω	to join with
προςκλίνω	to join
ἡ πρόσκλισις	"inclination, favoritism"
ἡ προςκοπή	cause for offense
ὁ προςκυνητής	worshiper
ἡ πρόσλημψις	acceptance
προςορμίζω	to moor
προςοφείλω	"to owe, owe besides"
πρόσπεινος	hungry
προςπήγνυμι	to crucify
προςποιέω	to add on; to act as if
προςπορεύομαι	to come toward; to approach
ἡ προςτάτις	"ruler, leader; patron, benefactor (f)"
τὸ προςφάγιον	cooked fish
πρόσφατος	"freshly slain; fresh, new, recent"
προςφάτως	recently
*** 5051 - 5075 (/course/66563/koine-greek-3/203/)	
προςφιλής	"dear, beloved"
ἡ πρόσχυσις	sprinkling
προςψαύω	"to touch upon, touch"
προςωπολημπτέω	to show favoritism
ὁ προςωπολήμπτης	one who shows favoritism
προτείνω	to stretch forth; to tie up
πρότερος	"former, formerly"
προτρέπω	"to encourage, persuade, urge on"
προφθάνω	to outrun; come before
προχειροτονέω	to choose beforehand
ὁ Πρόχορος	Prochorus
πρωτεύω	"to have first place, take preeminence"
ὁ πρωτοςτάτης	primary person; ringleader
τὸ πρωτοτόκια	rights of firstborn
πρώτως	"firstly, for the first time"
ἡ πτέρνα	heel; hoof; step
πτηνός	"feathered, winged; bird"
ἡ πτόησις	terrifying fear
ἡ Πτολεμαΐς	Ptolemais
πτύρω	to frighten
τὸ πτύσμα	spit
πτύσσω	to close
πτωχεύω	to become poor
ἡ πυγμή	"fist, fist-fight"
ὁ πύθων	Python
*** 5076 - 5100 (/course/66563/koine-greek-3/204/)	
πυκνός	"frequent, quick, rapid, shrewd"
πυκτεύω	to box
πύρινος	fiery red
ὁ Πύρρος	Pyrrhus
ὁ Ῥαγαύ	Reu; Ragau
τὸ ῥᾳδιούργημα	wrongdoing
ἡ ῥᾳδιουργία	unscrupulousness
ὁ Ῥαιφάν	Rephan
ῥακά	(Aram.) empty-head
ἡ Ῥαμά	Ramah
ἡ Ῥαχάβ	Rahab
ἡ Ῥαχήλ	Rachel
ἡ Ῥεβέκκα	Rebecca
ἡ ῥέδη	"carriage, wagon"
ῥέω	to flow
τὸ Ῥήγιον	Rhegium
τὸ ῥῆγμα	"torn piece; ruin, destruction"
ῥήγνυμι	"to break, tear, attack, burst out"
ὁ Ῥησά	Rhesa
ὁ ῥήτωρ	"lawyer, orator"
ῥητῶς	"expressly, clearly"
ἡ ῥιπή	blinking
ῥιπίζω	"to toss away, blow away"
ῥιπτέω	"to throw, let down"
ἡ Ῥόδη	Rhoda
*** 5101 - 5125 (/course/66563/koine-greek-3/205/)	
ἡ Ῥόδος	Rhodes
ῥοιζηδόν	with a great noise
ὁ Ῥουβήν	Reuben
ἡ Ῥούθ	Ruth
ῥυπαίνω	"to be filthy, impure"
ἡ ῥυπαρία	impurity
ὁ ῥύπος	"filth, dirt"
ἡ ῥυτίς	"fold, wrinkle"
Ῥωμαϊστί	in the Latin language
ῥώννυμι	"to strengthen, possess strength"
ὁ σαββατισμός	sabbath rest
ἡ σαγήνη	dragnet
σαίνω	to disturb
ἡ Σαλαμίς	Salamis
τὸ Σαλείμ	Salim
ἡ Σαλμώνη	Salmone
ὁ σάλος	"surge, seawave; restlessness; trial"
ὁ σαλπιστής	trumpeter
ἡ Σαμοθρᾴκη	Samothrace
ἡ Σάμος	Samos
ὁ Σαμψών	Samson
ἡ σανίς	"plank, board"
ἡ Σάπφιρα	Sapphira
ἡ σάπφιρος	sapphire
ἡ σαργάνη	braid; basket
*** 5126 - 5150 (/course/66563/koine-greek-3/206/)	
ἡ σαρδόνυξ	sardonyx
τὸ Σάρεπτα	Sarepta
ὁ Σαρών	Sharon
σεβάζομαι	to worship
ἡ σειρά	"chain, rope"
ὁ Σεκοῦνδος	Secundus
ἡ Σελεύκεια	Seleucia
ὁ Σεμεΐν	Semein
ἡ σεμίδαλις	fine flour
ὁ Σέργιος	Sergius
ὁ Σερούχ	Serug
ὁ Σήθ	Seth
ὁ Σήμ	Shem
σημειόω	"to note, to manifest"
σήπω	"to rot, decay"
σητόβρωτος	moth-eaten
σθενόω	to strengthen
ὁ σίδηρος	iron
ὁ σικάριος	"terrorist, assassin"
τὸ σίκερα	strong drink
τὸ σιμικίνθιον	"apron, kerchief"
σινιάζω	to sift
σιρικός	"silk, silken"
τὸ σιτίον	"grain, food"
σιτιστός	fattened
*** 5151 - 5175 (/course/66563/koine-greek-3/207/)	
τὸ σιτομέτριον	food allotment
τὸ σκέπασμα	clothing
ὁ Σκευᾶς	Sceva
ἡ σκευή	"tackle, rigging"
ἡ σκηνοπηγία	making of booths; Festival of Tabernacles
ὁ σκηνοποιός	tentmaker
ἡ σκληρότης	"hardness, cruelty"
σκληροτράχηλος	"stiff-necked, stubborn"
ὁ σκόλοψ	thorn
ὁ σκοπός	"lookout, sentry; target"
τὸ σκύβαλον	garbage
ὁ Σκύθης	Scythian
τὸ σκῦλον	plunder
σκωληκόβρωτος	eaten by worms
ὁ σκώληξ	worm
σμαράγδινος	made of emerald
ὁ σμάραγδος	emerald; malachite
σμυρνίζω	to mix with myrrh
ἡ σορός	"bier, coffin"
ἡ Σουσάννα	Susanna
ὁ σπεκουλάτωρ	executioner
ὁ σπερμολόγος	scavenger; idea-picker
ἡ σπιλάς	stain
ἡ σπορά	"seed, sowing"
ἡ στάμνος	jar
*** 5176 - 5200 (/course/66563/koine-greek-3/208/)	
ὁ στασιαστής	rebel
ὁ στατήρ	stater (coin)
ὁ Στάχυς	Stachys
τὸ στέμμα	garland
τὸ στερέωμα	"firmness, steadfastness; firmament"
ὁ στηριγμός	firmness
ἡ στιβάς	leafy branch
τὸ στίγμα	mark
ἡ στιγμή	moment
στίλβω	to shine
Στοϊκός	Stoic
ὁ στόμαχος	stomach
στρατολογέω	"to enlist soldiers, enlist as a soldier"
τὸ στρατόπεδον	"camp, encamped army"
στρεβλόω	"to twist, make crooked, pervert; to trouble"
τὸ στρῆνος	insolence; sensuality
στυγητός	"hated, hateful"
ἡ συγγενίς	relative (f)
ἡ συγγνώμη	concession; pardon
συγκακουχέομαι	to suffer with
συγκαλύπτω	to cover up
συγκάμπτω	"to bend, cause to bend"
συγκαταβαίνω	to go down together
ἡ συγκατάθεσις	agreement
συγκατατίθημι	to agree with
*** 5201 - 5225 (/course/66563/koine-greek-3/209/)	
συγκαταψηφίζομαι	to be counted among
συγκινέω	to stir up
συγκομίζω	to collect; to bury
συγκύπτω	to bend over
ἡ συγκυρία	"chance, coincidence"
συγχράομαι	to have dealings with; to make use of
ἡ σύγχυσις	confusion
ὁ συζητητής	"debater, disputant"
ὁ σύζυγος	fellow-worker
ἡ συκάμινος	mulberry tree
ἡ συκομορέα	sycamore tree
συλαγωγέω	to make a captive
συλάω	to rob
συλλογίζομαι	"to calculate, consider, discuss"
συλλυπέω	"to sympathize, grieve with"
ὁ σύμβουλος	"adviser, counselor"
ὁ συμμαθητής	fellow disciple
συμμερίζω	to share with
ὁ συμμιμητής	joint-imitator
συμμορφίζω	to share the same form
συμπαθής	sympathetic; sharing feeling with
συμπαραγίνομαι	to assemble
συμπαρακαλέω	to be encouraged together
συμπάρειμι	"to be present also, to stand by (sum)"
συμπεριλαμβάνω	to embrace
*** 5226 - 5250 (/course/66563/koine-greek-3/210/)	
συμπίνω	to drink with
συμπίπτω	"to collapse, fall together"
ὁ συμπολίτης	fellow citizen
συμπρεσβύτερος	fellow-elder
σύμφημι	"to approve, agree"
ὁ συμφυλέτης	fellow countryman
σύμφυτος	deeply implanted; thickly wooded; united with
συμφύω	to grow up with
ἡ συμφώνησις	agreement
ἡ συμφωνία	"music, harmony"
σύμφωνος	"harmonious, friendly"
συμψηφίζω	to count
σύμψυχος	"united, as one"
συναγωνίζομαι	"to help, join"
συναλίζω	"to eat with, assemble"
συναλλάσσω	"to reconcile, make peace"
συναναπαύομαι	to rest with
συναπόλλυμι	to perish together
συναποςτέλλω	to send with
συναυξάνω	to grow together
συνδέω	to fasten together; to be in prison with
συνδοξάζω	to share in glory
ἡ συνδρομή	running together; tumultuous mob
σύνειμι	"to gather, join together"
συνεκλεκτός	person also chosen
*** 5251 - 5275 (/course/66563/koine-greek-3/211/)	
συνεπιμαρτυρέω	to testify at the same time
συνεπιτίθημι	to join in an attack
συνέπομαι	to accompany
συνεφίστημι	to join in attack
συνήδομαι	to delight in
ὁ συνηλικιώτης	contemporary
συνθρύπτω	to break
συνοδεύω	to travel with
ἡ συνοδία	group
συνοικέω	to live with
συνοικοδομέω	to build together
συνομιλέω	to talk with; have fellowship with
συνομορέω	to be next door
συντέμνω	"to cut short, shorten; summarize"
τὸ σύντριμμα	"fracture, wound, destruction"
ὁ σύντροφος	"close friend, comrade"
συντυγχάνω	"to reach, to meet"
ἡ Συντύχη	Syntyche
συνυποκρίνομαι	to act insincerely with
συνυπουργέω	to help
συνωδίνω	to suffer pain together
ἡ συνωμοςία	"conspiracy, plot"
ἡ Συράκουσαι	Syracuse
ὁ Σύρος	"Syrian, Aramean"
ἡ Συροφοινίκισσα	Syrophoenician (f)
*** 5276 - 5300 (/course/66563/koine-greek-3/212/)	
ἡ Σύρτις	Syrtis
τὸ σύσσημον	signal
σύσσωμος	part of the same body; co-body member
συστατικός	recommendation
συστενάζω	to groan together
συστοιχέω	to correspond to
ἡ Συχάρ	Sychar
τὸ σφάγιον	sacrificial victim
σφοδρῶς	greatly
τὸ σφυδρόν	ankle
ἡ σχολή	"leisure, idleness; lecture hall"
σωματικῶς	in bodily form
