и	and
лепить/вы- (+a)	"to model, mould"
лирика	lyric poetry
медлить	"to be slow, tarry"
миленький	"sweet, nice, dear"
мозаика	mosaic
нагреваться/нагреться	"to warm os, warm up"
обновление	renovation
познавать/познать	"to get to know, experience (+a)"
приостанавливаться/приостановиться	"to stop (for a while), pause"
расписание	timetable
сажа	soot
светило	luminary
сечение	cutting; section
слива	plum
сношение	intercourse
туша	carcass
упряжка	"team (of horses, dogs); harness"
утопический	utopian
ходовой	"(coll) popular; operational, working"
чувствительность	sensitivity
чудный	wonderful
фара	headlamp
шлюз	"lock, sluice"
шов	seam
шрам	scar
эмигрант	"emigrant, emigre"
азот	nitrogen
аристократ	aristocrat
бес	demon
беседка	summer-house
благоустройство	equipping with amenities
болотный	marsh (adj)
брошка	brooch
варьировать	"to vary, modify (+a)"
ветвиться/раз-	to branch
вишь	look!
водопровод	water-pipe
возбуждаться/возбудиться	to become aroused
восковой	wax (adj)
восторгаться (+inst)	to be delighted (with)
кинотеатр	cinema
доступ (к +d)	access (to)
объект	"object; construction site, building"
губернатор	governor
дворянство	gentry
дивиться/по- (+d)	"to wonder, marvel (at) (coll)"
диктатор	dictator
жёлоб	"gutter, chute"
военно-морской	naval
жилка	vein
измельчённый	"crumbled, chopped up"
испарение	evaporation
катер	"cutter, launch (boat)"
текстильный	textile (adj)
тюк	bale
отвал	"slag-heap, dump"
истечение	"outflow; expiry, termination"
керосиновый	kerosene (adj)
конус	cone
крепостничество	serfdom
ледовый	ice (adj)
лепёшка	"flat cake; scone; lozenge, pastille"
лесник	"forester, forest ranger"
максимум	maximum
машинистка	typist
общенародный	"national, of the whole people"
оригинал	original; eccentric (noun)
ориентация	orientation
осыпать	to shower (s.o./sth with sth) (+a +inst)
пёрышко	(little) feather (coll)
пеший	"pedestrian, foot (adj)"
питерский	St Petersburg (adj) (coll)
победоносный	victorious
карать/по-	to punish (+a)
полковой	regimental
приписка	(written) addition
промеж (+g or +inst)	between (coll)
резец	cutting tool; incisor (tooth)
репродукция	reproduction
рисоваться	"to show off, pose; seem"
рукоятка	handle
серп	sickle
сирень	lilac
собачонка	little dog (coll)
соприкосновение	contact
сплав	alloy
срез	cut; cut edge
сток	flow; drain
струйка	"thin stream, trickle"
сыр	cheese
термометр	thermometer
транспортировка	transportation
трюм	hold (of ship)
угодье	usable land
уцелевший	surviving
участница	participant (f)
имение	estate
инстинкт	instinct
интенсивный	intensive
испанский	Spanish (adj)
извозчик	"carrier, cabman"
исследовательский	research (adj)
кавказский	"Caucasian, of the Caucasus"
казарма	barracks
капкан	trap
карьерист	careerist
кастрюля	saucepan
кашель	cough
кинжал	dagger
кишка	"gut, intestine"
клинок	blade
клоун	clown
клубок	ball (of wool etc.)
кобель	male dog
кое-какой	"some, certain"
коммерческий	commercial
коллекционер	collector
колодец	well
колотить/по-	to batter (+a)
колючка	prickle
комплект	"set, complete set"
конвой	escort
коньки	skates
коньяк	"cognac, brandy"
координировать	to coordinate (+a)
копошиться	to swarm
копчёный	smoked
копьё	spear
королёвский	royal
коммунальный	communal
космонавт	cosmonaut
краб	crab
красться	to creep
кроткий	"gentle, meek"
кругозор	"horizon, outlook"
кружить (+a)	to spin; circle
крымский	Crimean
кудрявый	curly
курсы	"course, courses (of study)"
лавина	avalanche
лампада	icon-lamp
ландшафт	landscape
легкомыслие	thoughtlessness
летопись	chronicle
ловля	catching
ложный	FALSE
лупа	magnifying glass
люлька	cradle
магистраль	main line; main road
магнит	magnet
мамин	mother’s (possessive adj)
мартовский	March (adj)
маскировка	"disguise, camouflage"
мах	"swing, stroke"
маятник	pendulum
мгновенный	instantaneous; momentary
медик	doctor; medical specialist
медлительный	slow
месть	revenge
метать/метнуть	"to throw, cast (+a)"
метко	accurately
механизировать	to mechanize (+a)
мираж	mirage
миф	myth
многовековой	centuries-old
мобилизация	mobilization
морщина	wrinkle
мох	moss
муравей	ant
муть	sediment
мысленный	mental
мычать	to moo; bellow
набат	alarm bell
навеки	for ever
наглый	impudent
надстройка	additional storey; superstructure
